Case_ID,Product,Folder,Language,Ground_Truth_Category,Primary_Category,Secondary_Categories,Abstained,Primary_Evidence_Strength,Dominant_Mechanism,Ranked_Categories,Top1_Prediction,Top2_Predictions,Top1_Correct,Top2_Correct,Mis_Status,Mis_Strength,Mis_Col_Anchor_Break_px,Mis_Residual_Disp_px,Mis_Direction_Coherence,Ov_Status,Ov_Strength,Ov_Total_Intersection_Area_px2,Ov_Max_Horizontal_Intrusion_px,Ov_Max_Vertical_Intrusion_px,Tr_Status,Tr_Strength,Tr_Verified_Ellipsis_Count,Tr_Max_Overflow_px,Tr_Container_Accommodated_Count,Un_Status,Un_Strength,Un_Genuine_Untrans_Strings,Un_Total_Latin_Words,Un_Tech_Brand_Tokens,HK_Status,HK_Strength,GT_is_Primary,GT_is_Secondary,GT_Evidence_Present,GT_Evidence_Strength,GT_Evidence_Absent,GT_Visually_Unsupported,Error_Bucket,Failure_Domain,Why_Another_Won,Competing_Evidence_Nature,Causal_Explanation
19,Inventor,Inventor-27,JPN,Misalignment,Truncation,Overlapping;Untranslation,False,0.9,"Text Boundary Clipping / Localized Ellipsis (1 verified ellipsis, 0px overflow)",Overlapping;Truncation;Untranslation;Misalignment;Repeated hotkey,Truncation,Truncation;Overlapping,False,False,MODERATE_EVIDENCE,0.159,8.0,16.28,0.067,STRONG_EVIDENCE,0.6,2754,54,18,STRONG_EVIDENCE,0.6,1,0,0,STRONG_EVIDENCE,0.25,1,3,2,VISUALLY_UNSUPPORTED,-1.0,False,False,True,0.159,False,False,OTHER,EXTRACTION_PROBLEM (Element matching or boundary fit failed to capture GT),Ground Truth Misalignment was completely absent from detected physical streams; Truncation was the only active signal.,Independent visual defect or false positive,"Primary diagnosis is Truncation (strength: 0.900) driven by Text Boundary Clipping / Localized Ellipsis (1 verified ellipsis, 0px overflow). Causal Precedence: Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Overlapping (strength: 0.651), Untranslation (strength: 0.354). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
20,Inventor,Inventor-31,DEU,Misalignment,Misalignment,Untranslation;Overlapping,False,0.935,"Structural Column Grid Break (115.0px anchor break, 60.5px residual drift)",Misalignment;Overlapping;Untranslation;Truncation;Repeated hotkey,Misalignment,Misalignment;Untranslation,True,True,STRONG_EVIDENCE,0.779,115.0,60.5,-0.037,STRONG_EVIDENCE,0.447,1056,64,14,MODERATE_EVIDENCE,0.0,0,0,0,STRONG_EVIDENCE,0.3,2,2,0,VISUALLY_UNSUPPORTED,-1.0,True,False,True,0.779,False,False,CORRECT_PRIMARY,,,,"Primary diagnosis is Misalignment (strength: 0.935) driven by Structural Column Grid Break (115.0px anchor break, 60.5px residual drift). Causal Precedence: Causal Rule 1: Untranslated English text outranks downstream layout reflow/contact. Causal Rule 2: Structural column grid break outranks downstream viewport edge clipping. Causal Rule 3: Positive inter-sibling intrusion outranks internal boundary clipping. Coexisting secondary defect mechanisms preserved: Untranslation (strength: 0.808), Overlapping (strength: 0.361). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
21,Inventor,Inventor-37,RUS,Misalignment,Misalignment,,False,1.0,"Structural Column Grid Break (184.0px anchor break, 184.0px residual drift)",Misalignment;Overlapping;Truncation;Untranslation;Repeated hotkey,Misalignment,Misalignment,True,True,STRONG_EVIDENCE,1.0,184.0,184.01,0.374,MODERATE_EVIDENCE,0.0,0,0,0,MODERATE_EVIDENCE,0.0,0,0,0,WEAK_EVIDENCE,0.0,0,0,1,VISUALLY_UNSUPPORTED,-1.0,True,False,True,1.0,False,False,CORRECT_PRIMARY,,,,"Primary diagnosis is Misalignment (strength: 1.000) driven by Structural Column Grid Break (184.0px anchor break, 184.0px residual drift). Causal Precedence: Causal Rule 2: Structural column grid break outranks downstream viewport edge clipping. Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
22,Vault,Vault-28,HUN,Misalignment,Truncation,Misalignment,False,1.0,"Text Boundary Clipping / Localized Ellipsis (5 verified ellipsis, 0px overflow)",Truncation;Misalignment;Untranslation;Overlapping;Repeated hotkey,Truncation,Truncation;Misalignment,False,True,MODERATE_EVIDENCE,0.735,62.0,220.0,-0.546,STRONG_EVIDENCE,0.007,14,1,14,STRONG_EVIDENCE,1.0,5,0,0,MODERATE_EVIDENCE,0.15,1,1,1,VISUALLY_UNSUPPORTED,-1.0,False,True,True,0.735,False,False,WRONG_PRIMARY_GT_IN_SECONDARY,ARBITRATION_PROBLEM (Multi-defect precedence ranking),Truncation generated higher continuous specificity (1.0) than Misalignment (0.735).,Downstream consequence or compound coexisting defect,"Primary diagnosis is Truncation (strength: 1.000) driven by Text Boundary Clipping / Localized Ellipsis (5 verified ellipsis, 0px overflow). Causal Precedence: Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Misalignment (strength: 0.940). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
23,Vault,Vault-32,PLK,Misalignment,Untranslation,,False,0.829,"Preserved User-Facing English Lexicon (1 untranslated strings, 5 Latin words)",Untranslation;Misalignment;Overlapping;Truncation;Repeated hotkey,Untranslation,Untranslation,False,False,MODERATE_EVIDENCE,0.315,49.0,49.37,0.434,MODERATE_EVIDENCE,0.0,0,0,0,MODERATE_EVIDENCE,0.0,0,0,0,STRONG_EVIDENCE,0.35,1,5,0,VISUALLY_UNSUPPORTED,-1.0,False,False,True,0.315,False,False,OTHER,EXTRACTION_PROBLEM (Element matching or boundary fit failed to capture GT),Ground Truth Misalignment was completely absent from detected physical streams; Untranslation was the only active signal.,Independent visual defect or false positive,"Primary diagnosis is Untranslation (strength: 0.829) driven by Preserved User-Facing English Lexicon (1 untranslated strings, 5 Latin words). Causal Precedence: Causal Rule 1: Untranslated English text outranks downstream layout reflow/contact. Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
24,Vault,Vault-35,ESP,Misalignment,Truncation,Misalignment,False,0.9,"Text Boundary Clipping / Localized Ellipsis (1 verified ellipsis, 0px overflow)",Truncation;Misalignment;Overlapping;Untranslation;Repeated hotkey,Truncation,Truncation;Misalignment,False,True,MODERATE_EVIDENCE,0.541,64.0,118.0,-0.334,MODERATE_EVIDENCE,0.0,0,0,0,STRONG_EVIDENCE,0.6,1,0,0,NO_EVIDENCE,0.0,0,0,0,VISUALLY_UNSUPPORTED,-1.0,False,True,True,0.541,False,False,WRONG_PRIMARY_GT_IN_SECONDARY,ARBITRATION_PROBLEM (Multi-defect precedence ranking),Truncation generated higher continuous specificity (0.9) than Misalignment (0.541).,Downstream consequence or compound coexisting defect,"Primary diagnosis is Truncation (strength: 0.900) driven by Text Boundary Clipping / Localized Ellipsis (1 verified ellipsis, 0px overflow). Causal Precedence: Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Misalignment (strength: 0.712). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
25,Vault,Vault-36,CHT,Misalignment,Truncation,Overlapping,False,0.9,"Text Boundary Clipping / Localized Ellipsis (1 verified ellipsis, 0px overflow)",Truncation;Overlapping;Misalignment;Untranslation;Repeated hotkey,Truncation,Truncation;Overlapping,False,False,WEAK_EVIDENCE,0.073,0.0,3.0,0.268,STRONG_EVIDENCE,0.364,1284,42,18,STRONG_EVIDENCE,0.6,1,0,0,NO_EVIDENCE,0.0,0,0,0,VISUALLY_UNSUPPORTED,-1.0,False,False,True,0.073,False,False,OTHER,EXTRACTION_PROBLEM (Element matching or boundary fit failed to capture GT),Ground Truth Misalignment was completely absent from detected physical streams; Truncation was the only active signal.,Independent visual defect or false positive,"Primary diagnosis is Truncation (strength: 0.900) driven by Text Boundary Clipping / Localized Ellipsis (1 verified ellipsis, 0px overflow). Causal Precedence: Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Overlapping (strength: 0.293). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
26,Vault,Vault-37,CSY,Misalignment,Truncation,,False,0.9,"Text Boundary Clipping / Localized Ellipsis (1 verified ellipsis, 0px overflow)",Truncation;Misalignment;Overlapping;Untranslation;Repeated hotkey,Truncation,Truncation,False,False,MODERATE_EVIDENCE,0.164,18.0,25.5,-0.218,STRONG_EVIDENCE,0.02,42,3,14,STRONG_EVIDENCE,0.6,1,0,0,NO_EVIDENCE,0.0,0,0,0,VISUALLY_UNSUPPORTED,-1.0,False,False,True,0.164,False,False,OTHER,EXTRACTION_PROBLEM (Element matching or boundary fit failed to capture GT),Ground Truth Misalignment was completely absent from detected physical streams; Truncation was the only active signal.,Independent visual defect or false positive,"Primary diagnosis is Truncation (strength: 0.900) driven by Text Boundary Clipping / Localized Ellipsis (1 verified ellipsis, 0px overflow). Causal Precedence: Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
27,Vault,Vault-40,HUN,Misalignment,Misalignment,Truncation;Untranslation,False,1.0,"Structural Column Grid Break (227.0px anchor break, 208.0px residual drift)",Misalignment;Truncation;Overlapping;Untranslation;Repeated hotkey,Misalignment,Misalignment;Truncation,True,True,STRONG_EVIDENCE,1.0,227.0,208.02,0.129,STRONG_EVIDENCE,0.338,147,64,19,STRONG_EVIDENCE,0.6,1,0,0,STRONG_EVIDENCE,0.3,2,2,0,VISUALLY_UNSUPPORTED,-1.0,True,False,True,1.0,False,False,CORRECT_PRIMARY,,,,"Primary diagnosis is Misalignment (strength: 1.000) driven by Structural Column Grid Break (227.0px anchor break, 208.0px residual drift). Causal Precedence: Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Truncation (strength: 0.900), Untranslation (strength: 0.458). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
29,Civil3d,Civil3d-06,RUS,Overlapping,Misalignment,Overlapping,False,1.0,"Structural Column Grid Break (464.0px anchor break, 438.3px residual drift)",Misalignment;Overlapping;Truncation;Untranslation;Repeated hotkey,Misalignment,Misalignment;Overlapping,False,True,STRONG_EVIDENCE,1.0,464.0,438.26,0.013,STRONG_EVIDENCE,1.0,15573,465,23,MODERATE_EVIDENCE,0.0,0,0,0,NO_EVIDENCE,0.0,0,0,0,VISUALLY_UNSUPPORTED,-1.0,False,True,True,1.0,False,False,WRONG_PRIMARY_GT_IN_SECONDARY,ARBITRATION_PROBLEM (Multi-defect precedence ranking),Misalignment generated higher continuous specificity (1.0) than Overlapping (1.0).,Downstream consequence or compound coexisting defect,"Primary diagnosis is Misalignment (strength: 1.000) driven by Structural Column Grid Break (464.0px anchor break, 438.3px residual drift). Causal Precedence: Causal Rule 2: Structural column grid break outranks downstream viewport edge clipping. Causal Rule 3: Positive inter-sibling intrusion outranks internal boundary clipping. Coexisting secondary defect mechanisms preserved: Overlapping (strength: 1.000). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
30,Civil3d,Civil3d-18,CSY,Overlapping,Truncation,Overlapping,False,0.4,"Text Boundary Clipping / Localized Ellipsis (0 verified ellipsis, 0px overflow)",Untranslation;Misalignment;Overlapping;Truncation;Repeated hotkey,Truncation,Truncation;Overlapping,False,True,MODERATE_EVIDENCE,0.127,0.0,44.68,0.364,MODERATE_EVIDENCE,0.0,0,0,0,MODERATE_EVIDENCE,0.0,0,0,0,MODERATE_EVIDENCE,0.15,1,1,0,VISUALLY_UNSUPPORTED,-1.0,False,True,True,0.0,False,False,WRONG_PRIMARY_GT_IN_SECONDARY,ARBITRATION_PROBLEM (Multi-defect precedence ranking),Truncation generated higher continuous specificity (0.4) than Overlapping (0.0).,Downstream consequence or compound coexisting defect,"Primary diagnosis is Truncation (strength: 0.400) driven by Text Boundary Clipping / Localized Ellipsis (0 verified ellipsis, 0px overflow). Coexisting secondary defect mechanisms preserved: Overlapping (strength: 0.350). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
31,Civil3d,Civil3d-28,PTB,Overlapping,Untranslation,Truncation;Misalignment,False,1.0,"Preserved User-Facing English Lexicon (3 untranslated strings, 9 Latin words)",Untranslation;Truncation;Misalignment;Overlapping;Repeated hotkey,Untranslation,Untranslation;Truncation,False,False,STRONG_EVIDENCE,0.576,84.0,88.01,0.259,MODERATE_EVIDENCE,0.0,0,0,0,STRONG_EVIDENCE,0.6,1,0,0,STRONG_EVIDENCE,0.75,3,9,0,VISUALLY_UNSUPPORTED,-1.0,False,False,True,0.0,False,False,OTHER,EXTRACTION_PROBLEM (Element matching or boundary fit failed to capture GT),Ground Truth Overlapping was completely absent from detected physical streams; Untranslation was the only active signal.,Independent visual defect or false positive,"Primary diagnosis is Untranslation (strength: 1.000) driven by Preserved User-Facing English Lexicon (3 untranslated strings, 9 Latin words). Causal Precedence: Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Truncation (strength: 0.900), Misalignment (strength: 0.734). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
32,Civil3d,Civil3d-29,FRA,Overlapping,Overlapping,Untranslation,False,1.0,"Geometric Boundary Collision (3784px² overlap area, 146.0px intrusion)",Overlapping;Untranslation;Misalignment;Truncation;Repeated hotkey,Overlapping,Overlapping;Untranslation,True,True,MODERATE_EVIDENCE,0.356,52.0,52.04,0.132,STRONG_EVIDENCE,1.0,3784,146,13,MODERATE_EVIDENCE,0.0,0,0,0,STRONG_EVIDENCE,0.45,3,3,2,VISUALLY_UNSUPPORTED,-1.0,True,False,True,1.0,False,False,CORRECT_PRIMARY,,,,"Primary diagnosis is Overlapping (strength: 1.000) driven by Geometric Boundary Collision (3784px² overlap area, 146.0px intrusion). Causal Precedence: Causal Rule 1: Untranslated English text outranks downstream layout reflow/contact. Causal Rule 3: Positive inter-sibling intrusion outranks internal boundary clipping. Coexisting secondary defect mechanisms preserved: Untranslation (strength: 1.000). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
33,Civil3d,Civil3d-30,CHT,Overlapping,Misalignment,Overlapping,False,1.0,"Structural Column Grid Break (233.0px anchor break, 232.4px residual drift)",Misalignment;Overlapping;Truncation;Untranslation;Repeated hotkey,Misalignment,Misalignment;Overlapping,False,True,STRONG_EVIDENCE,1.0,233.0,232.36,0.208,STRONG_EVIDENCE,1.0,5252,78,18,MODERATE_EVIDENCE,0.0,0,0,0,NO_EVIDENCE,0.0,0,0,0,VISUALLY_UNSUPPORTED,-1.0,False,True,True,1.0,False,False,WRONG_PRIMARY_GT_IN_SECONDARY,ARBITRATION_PROBLEM (Multi-defect precedence ranking),Misalignment generated higher continuous specificity (1.0) than Overlapping (1.0).,Downstream consequence or compound coexisting defect,"Primary diagnosis is Misalignment (strength: 1.000) driven by Structural Column Grid Break (233.0px anchor break, 232.4px residual drift). Causal Precedence: Causal Rule 2: Structural column grid break outranks downstream viewport edge clipping. Causal Rule 3: Positive inter-sibling intrusion outranks internal boundary clipping. Coexisting secondary defect mechanisms preserved: Overlapping (strength: 1.000). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
